Village Name,Gram Panchayat,TALUK,district
Adagal,Adagal,Badami ,YADGIR
Bhagavati,Bagavati,Bagalkot ,YADGIR
Anagawadi,Anagwadi,Bilgi ,YADGIR
Amarawati,Amarawati,Hungund ,YADGIR
Adihudi,Adihudi,Jamkhandi ,YADGIR
Badnur,Bantnur,Mudhol ,YADGIR
Kabbalageri,Adagal,Badami ,YADGIR
Kirasur,Bagavati,Bagalkot ,YADGIR
Kadapatti,Anagwadi,Bilgi ,YADGIR
Ramawadgi,Amarawati,Hungund ,YADGIR
Alagur,Algur,Jamkhandi ,YADGIR
Bhantnur,Bantnur,Mudhol ,YADGIR
Alur S K,Alur Sk,Badami ,YADGIR
Achanur,Bel Kerur,Bagalkot ,YADGIR
Tummarmatti,Anagwadi,Bilgi ,YADGIR
Timmapur,Amarawati,Hungund ,YADGIR
Asangi,Asangi,Jamkhandi ,YADGIR
Chikkur,Bantnur,Mudhol ,YADGIR
Beeranur,Alur Sk,Badami ,YADGIR
Bilkerur,Bel Kerur,Bagalkot ,YADGIR
Arakeri,Arakeri,Bilgi ,YADGIR
Balakundi,Balkundi,Hungund ,YADGIR
Madanamatti,Asangi,Jamkhandi ,YADGIR
Junnur,Bantnur,Mudhol ,YADGIR
Govanakoppa,Alur Sk,Badami ,YADGIR
Sangapur,Bel Kerur,Bagalkot ,YADGIR
Durgapura,Arakeri,Bilgi ,YADGIR
Ishwarnagar,Balkundi,Hungund ,YADGIR
Bidari,Bidari,Jamkhandi ,YADGIR
Antapur,Baragi,Mudhol ,YADGIR
Haganur,Alur Sk,Badami ,YADGIR
Benakatti,Benakatti,Bagalkot ,YADGIR
Badagandi,Badagandi,Bilgi ,YADGIR
Belgal,Belgal,Hungund ,YADGIR
Chikkalaki,Bidari,Jamkhandi ,YADGIR
Baragi,Baragi,Mudhol ,YADGIR
Talakawad,Alur Sk,Badami ,YADGIR
Ingalagi,Benakatti,Bagalkot ,YADGIR
Rolli,Badagandi,Bilgi ,YADGIR
Bisanalkoppa,Belgal,Hungund ,YADGIR
Janawad,Bidari,Jamkhandi ,YADGIR
Bidri,Baragi,Mudhol ,YADGIR
Anawal,Anawal,Badami ,YADGIR
Mannikatti,Benakatti,Bagalkot ,YADGIR
Badgi,Badagi,Bilgi ,YADGIR
Huvanur,Belgal,Hungund ,YADGIR
Chikkapadasalgi,Chikka Padsalgi,Jamkhandi ,YADGIR
Chinchakhandi,Chinchakhandi K D,Mudhol ,YADGIR
Hanamaneri Inam,Anawal,Badami ,YADGIR
Bennur,Bennur,Bagalkot ,YADGIR
Budihal,Badagi,Bilgi ,YADGIR
Kirasur,Belgal,Hungund ,YADGIR
Kavatagi,Chikka Padsalgi,Jamkhandi ,YADGIR
Jambgi,Chinchakhandi K D,Mudhol ,YADGIR
Kalabandakeri,Anawal,Badami ,YADGIR
Ilal,Bennur,Bagalkot ,YADGIR
Gulbal,Badagi,Bilgi ,YADGIR
Medinapur,Belgal,Hungund ,YADGIR
Chimmad,Chimmad,Jamkhandi ,YADGIR
Jeeragal,Chinchakhandi K D,Mudhol ,YADGIR
Belur,Belur,Badami ,YADGIR
Siraguppi,Bennur,Bagalkot ,YADGIR
Bavalatti,Budihal Sh,Bilgi ,YADGIR
Bekamaladinni,Binjawadgi,Hungund ,YADGIR
Golbhavi,Golabavi,Jamkhandi ,YADGIR
Dadanatti,Dadnatti,Mudhol ,YADGIR
Dhanakashirur,Belur,Badami ,YADGIR
Talagihal,Bennur,Bagalkot ,YADGIR
Budhihal,Budihal Sh,Bilgi ,YADGIR
Binjawadgi,Binjawadgi,Hungund ,YADGIR
Kaltippi,Golabavi,Jamkhandi ,YADGIR
Hosakoti,Dadnatti,Mudhol ,YADGIR
Cholachagudda,Cholachagud,Badami ,YADGIR
Bevinamatti S Haveli,Bevinamatti S H,Bagalkot ,YADGIR
Kovalli,Budihal Sh,Bilgi ,YADGIR
Chintakamaladinni,Binjawadgi,Hungund ,YADGIR
Gothe,Gote,Jamkhandi ,YADGIR
Kanasageri,Dadnatti,Mudhol ,YADGIR
Khyad,Cholachagud,Badami ,YADGIR
Mallapur,Bevinamatti S H,Bagalkot ,YADGIR
Koppa,Chikkalagundi,Bilgi ,YADGIR
Ghattiganur,Binjawadgi,Hungund ,YADGIR
Kalbilagi,Gote,Jamkhandi ,YADGIR
Dhavaleshwar,Dhavaleshwar,Mudhol ,YADGIR
Nagaral S B,Cholachagud,Badami ,YADGIR
Bevoor,Bevoor,Bagalkot ,YADGIR
Galagali,Galgalli,Bilgi ,YADGIR
Hagedal,Binjawadgi,Hungund ,YADGIR
Halingali,Halingali,Jamkhandi ,YADGIR
Gulgal Jambagi,Gulagal Jambagi,Mudhol ,YADGIR
Chinchalakatti,Fakirbhudihal,Badami ,YADGIR
Choudapur,Bevoor,Bagalkot ,YADGIR
Girisagar,Girisagar,Bilgi ,YADGIR
Jalakamaladinni,Binjawadgi,Hungund ,YADGIR
Hangandi,Hangandi,Jamkhandi ,YADGIR
Rugi,Gulagal Jambagi,Mudhol ,YADGIR
Fakeerabudihal,Fakirbhudihal,Badami ,YADGIR
Chickka Shellikeri,Chikka Shellikeri,Bagalkot ,YADGIR
Chinvalkoppa,Heggura,Bilgi ,YADGIR
Kadiwal,Binjawadgi,Hungund ,YADGIR
Yaragatti,Hangandi,Jamkhandi ,YADGIR
Halagali,Halgali,Mudhol ,YADGIR
Hanamaneri,Fakirbhudihal,Badami ,YADGIR
Govindkopp,Chikka Shellikeri,Bagalkot ,YADGIR
Godihal,Heggura,Bilgi ,YADGIR
Revadihal,Binjawadgi,Hungund ,YADGIR
Hipparagi,Hipparagi,Jamkhandi ,YADGIR
Chitrabanukoti,Hebbal,Mudhol ,YADGIR
Narenur,Fakirbhudihal,Badami ,YADGIR
Hire Shellikeri,Chikka Shellikeri,Bagalkot ,YADGIR
Gundanapalli,Heggura,Bilgi ,YADGIR
Bisaladinni,Bisaladinni,Hungund ,YADGIR
Hirepadasalgi,Hire Padsalgi,Jamkhandi ,YADGIR
Hebbal,Hebbal,Mudhol ,YADGIR
Saganur,Fakirbhudihal,Badami ,YADGIR
Kalasakopp,Chikka Shellikeri,Bagalkot ,YADGIR
Heggur,Heggura,Bilgi ,YADGIR
Chowdakamaladinni,Bisaladinni,Hungund ,YADGIR
Naganur,Hire Padsalgi,Jamkhandi ,YADGIR
Petlur,Hebbal,Mudhol ,YADGIR
Allur S P,Haldur,Badami ,YADGIR
Bommanagi,Chikkamyageri,Bagalkot ,YADGIR
Kamadal,Heggura,Bilgi ,YADGIR
Katagur,Bisaladinni,Hungund ,YADGIR
Hulyal,Hulyal,Jamkhandi ,YADGIR
Timmapur,Hebbal,Mudhol ,YADGIR
Budanagad,Haldur,Badami ,YADGIR
Chick Myageri,Chikkamyageri,Bagalkot ,YADGIR
Koppa S R,Heggura,Bilgi ,YADGIR
Turadagi,Bisaladinni,Hungund ,YADGIR
Hunashikatti,Hulyal,Jamkhandi ,YADGIR
Ingalagi,Ingalagi,Mudhol ,YADGIR
Haladur,Haldur,Badami ,YADGIR
Handaragala,Chikkamyageri,Bagalkot ,YADGIR
Lingapur S R,Heggura,Bilgi ,YADGIR
Valakaladinni,Bisaladinni,Hungund ,YADGIR
Hunnur,Hunnur,Jamkhandi ,YADGIR
Yadahalli,Ingalagi,Mudhol ,YADGIR
Injanawari,Haldur,Badami ,YADGIR
Hire Myageri,Chikkamyageri,Bagalkot ,YADGIR
Mangur,Heggura,Bilgi ,YADGIR
Benakanadoni,Budihal S K,Hungund ,YADGIR
Jagadal,Jagdal,Jamkhandi ,YADGIR
Kasba Jambgi,Kasaba Jambagi,Mudhol ,YADGIR
Padanakatti,Haldur,Badami ,YADGIR
Chikk Sansi,Devanal,Bagalkot ,YADGIR
Muttaladinni,Heggura,Bilgi ,YADGIR
Hemawadgi,Budihal S K,Hungund ,YADGIR
Takkalaki,Jambagi B K,Jamkhandi ,YADGIR
Muddapur,Kasaba Jambagi,Mudhol ,YADGIR
Haligeri,Haligeri,Badami ,YADGIR
Devanal,Devanal,Bagalkot ,YADGIR
Herkal,Herkal,Bilgi ,YADGIR
Konnur,Budihal S K,Hungund ,YADGIR
Takkod,Jambagi B K,Jamkhandi ,YADGIR
Bisanal,Kesarkoppa,Mudhol ,YADGIR
Chikkamuchalagudda,Halkurki,Badami ,YADGIR
Hire Sansi,Devanal,Bagalkot ,YADGIR
Yelligutti,Herkal,Bilgi ,YADGIR
Manmathanal,Budihal S K,Hungund ,YADGIR
Hanchinal,Kadapatti,Jamkhandi ,YADGIR
Kesrakoppa,Kesarkoppa,Mudhol ,YADGIR
Halakurki,Halkurki,Badami ,YADGIR
Sokanadgi,Devanal,Bagalkot ,YADGIR
Badardinni,Honnihal,Bilgi ,YADGIR
Nidasanur,Budihal S K,Hungund ,YADGIR
Kadapatti,Kadapatti,Jamkhandi ,YADGIR
Kulali,Kulalli,Mudhol ,YADGIR
Hiremuchalagudda,Halkurki,Badami ,YADGIR
Durganagar,Gaddankeri,Bagalkot ,YADGIR
Honnihal,Honnihal,Bilgi ,YADGIR
Palti,Budihal S K,Hungund ,YADGIR
Ramateerth,Kadapatti,Jamkhandi ,YADGIR
Chawadapur,Laxanatti,Mudhol ,YADGIR
Hanapur S P,Hanapur Sp,Badami ,YADGIR
Gaddankeri,Gaddankeri,Bagalkot ,YADGIR
Mannikeri,Honnihal,Bilgi ,YADGIR
Tariwal,Budihal S K,Hungund ,YADGIR
Kadakol,Kankanwadi,Jamkhandi ,YADGIR
Jadar Aralikatti,Laxanatti,Mudhol ,YADGIR
Murudi,Hanapur Sp,Badami ,YADGIR
Bhairamatti,Hallur,Bagalkot ,YADGIR
Yettinatti,Honnihal,Bilgi ,YADGIR
Turamari,Budihal S K,Hungund ,YADGIR
Kankanawadi,Kankanwadi,Jamkhandi ,YADGIR
Jalikatti,Laxanatti,Mudhol ,YADGIR
Saraswathinagar,Hanapur Sp,Badami ,YADGIR
Hallur,Hallur,Bagalkot ,YADGIR
Girgaon,Inam Hanchinal,Bilgi ,YADGIR
Chickkodagali,Chikka Kodagali,Hungund ,YADGIR
Gadyal,Kannolli,Jamkhandi ,YADGIR
Laxanatti,Laxanatti,Mudhol ,YADGIR
Hangaragi,Hangaragi,Badami ,YADGIR
Chick Hodlur,Hire Gulbal,Bagalkot ,YADGIR
Gudadinni,Inam Hanchinal,Bilgi ,YADGIR
Hireupnal,Chikka Kodagali,Hungund ,YADGIR
Kannolli,Kannolli,Jamkhandi ,YADGIR
Naganapur,Laxanatti,Mudhol ,YADGIR
Hirebudihal,Hangaragi,Badami ,YADGIR
Chikkgulabal,Hire Gulbal,Bagalkot ,YADGIR
Hanchinal,Inam Hanchinal,Bilgi ,YADGIR
Sankalapur,Chikka Kodagali,Hungund ,YADGIR
Kuragod,Kannolli,Jamkhandi ,YADGIR
Palkimanya,Laxanatti,Mudhol ,YADGIR
Khazibudihal,Hangaragi,Badami ,YADGIR
Chikkmuramatti,Hire Gulbal,Bagalkot ,YADGIR
Janamatti,Janamatti,Bilgi ,YADGIR
Benakanavari,Chikkanal,Hungund ,YADGIR
Kajibilgi,Khajibilagi,Jamkhandi ,YADGIR
Varchagal,Laxanatti,Mudhol ,YADGIR
Bedarabudihal,Hansanur,Badami ,YADGIR
Dharmnagar,Hire Gulbal,Bagalkot ,YADGIR
Venkatapura,Janamatti,Bilgi ,YADGIR
Bhimanagad,Chikkanal,Hungund ,YADGIR
Kulhalli,Kolahalli,Jamkhandi ,YADGIR
Lokapur,Lokapur,Mudhol ,YADGIR
Hansanoor,Hansanur,Badami ,YADGIR
Hire Hodlur,Hire Gulbal,Bagalkot ,YADGIR
Beerkabbi,Kandagal,Bilgi ,YADGIR
Chikanal,Chikkanal,Hungund ,YADGIR
Konnur,Konnur,Jamkhandi ,YADGIR
Alagundi,Machaknur,Mudhol ,YADGIR
Raghapur,Hansanur,Badami ,YADGIR
Hiregulabal,Hire Gulbal,Bagalkot ,YADGIR
Hadarihal,Kandagal,Bilgi ,YADGIR
Chilapur,Chikkanal,Hungund ,YADGIR
Kumbarhal,Kumbar Hall,Jamkhandi ,YADGIR
Budni Khurd,Machaknur,Mudhol ,YADGIR
Hebballi,Hebbali,Badami ,YADGIR
Hiremuramatti,Hire Gulbal,Bagalkot ,YADGIR
Kandagal,Kandagal,Bilgi ,YADGIR
Kyadiggeri,Chikkanal,Hungund ,YADGIR
Sanal,Kumbar Hall,Jamkhandi ,YADGIR
Machaknur,Machaknur,Mudhol ,YADGIR
Lakhamapur,Hebbali,Badami ,YADGIR
Muttatti,Hire Gulbal,Bagalkot ,YADGIR
Katarki,Kataraki,Bilgi ,YADGIR
Siddanakolla,Chikkanal,Hungund ,YADGIR
Chingundi,Kunchanoor,Jamkhandi ,YADGIR
Madhabhavi,Madhabavi,Mudhol ,YADGIR
Mallapur,Hebbali,Badami ,YADGIR
Chick Sitimani,Hosur,Bagalkot ,YADGIR
Lingapur,Kataraki,Bilgi ,YADGIR
Upnal,Chikkanal,Hungund ,YADGIR
Jakanur,Kunchanoor,Jamkhandi ,YADGIR
Marapur,Madhabavi,Mudhol ,YADGIR
Mumaraddikoppa,Hebbali,Badami ,YADGIR
Hosur,Hosur,Bagalkot ,YADGIR
Shiraguppi,Kataraki,Bilgi ,YADGIR
Chittaragi,Chittargi,Hungund ,YADGIR
Kunchanur,Kunchanoor,Jamkhandi ,YADGIR
Sanganatti,Madhabavi,Mudhol ,YADGIR
Anantagiri,Hosur,Badami ,YADGIR
Manahalli,Hosur,Bagalkot ,YADGIR
Chickhanchinal,Kollur,Bilgi ,YADGIR
Gangur,Chittargi,Hungund ,YADGIR
Budni,Linagnoor,Jamkhandi ,YADGIR
Malali,Malali,Mudhol ,YADGIR
Guddada Mallapur,Hosur,Badami ,YADGIR
Nagaral,Hosur,Bagalkot ,YADGIR
Chowdapur,Kollur,Bilgi ,YADGIR
Hadagali,Chittargi,Hungund ,YADGIR
Gani,Linagnoor,Jamkhandi ,YADGIR
Mantur,Mantur,Mudhol ,YADGIR
Hosur,Hosur,Badami ,YADGIR
Nagasampagi,Hosur,Bagalkot ,YADGIR
Kolur,Kollur,Bilgi ,YADGIR
Adihal,Dhannur,Hungund ,YADGIR
Linganur,Linagnoor,Jamkhandi ,YADGIR
Kishori,Melligeri,Mudhol ,YADGIR
Nasagunni,Hosur,Badami ,YADGIR
Sitimani,Hosur,Bagalkot ,YADGIR
Mundaganur,Kollur,Bilgi ,YADGIR
Dhannur,Dhannur,Hungund ,YADGIR
Kalhalli,Madarkhandi,Jamkhandi ,YADGIR
Melligeri,Melligeri,Mudhol ,YADGIR
Agasarakoppa,Huligeri,Badami ,YADGIR
Jadramakunti,Kadalimatti,Bagalkot ,YADGIR
Rabkavi,Kollur,Bilgi ,YADGIR
Iddalgi,Dhannur,Hungund ,YADGIR
Madarkhandi,Madarkhandi,Jamkhandi ,YADGIR
Bommanbudni,Metagud,Mudhol ,YADGIR
Bandakeri,Huligeri,Badami ,YADGIR
Kadalimatti,Kadalimatti,Bagalkot ,YADGIR
Dhawaleshwar,Korti,Bilgi ,YADGIR
Kamadatta,Dhannur,Hungund ,YADGIR
Maigur,Maigur,Jamkhandi ,YADGIR
Halaki,Metagud,Mudhol ,YADGIR
Hoolageri,Huligeri,Badami ,YADGIR
Lavaleshavar,Kadalimatti,Bagalkot ,YADGIR
Garadadinni,Korti,Bilgi ,YADGIR
Yemmihatti,Dhannur,Hungund ,YADGIR
Shiraguppi,Maigur,Jamkhandi ,YADGIR
Metgud,Metagud,Mudhol ,YADGIR
Malagi,Huligeri,Badami ,YADGIR
Mudapaljivi,Kadalimatti,Bagalkot ,YADGIR
Govinadinni,Korti,Bilgi ,YADGIR
Ganjihal,Ganjihal,Hungund ,YADGIR
Mareguddi,Mareguddhi,Jamkhandi ,YADGIR
Ningapur,Metagud,Mudhol ,YADGIR
Yaragoppa Inam,Huligeri,Badami ,YADGIR
Andamuranal,Kadampur,Bagalkot ,YADGIR
Korti,Korti,Bilgi ,YADGIR
Nandanoor,Ganjihal,Hungund ,YADGIR
Albal,Muttur,Jamkhandi ,YADGIR
Mugalkhod,Mugalkhoda,Mudhol ,YADGIR
Gubberakoppa,Hullikeri,Badami ,YADGIR
Honaralli,Kadampur,Bagalkot ,YADGIR
Takkalki,Korti,Bilgi ,YADGIR
Gopsani,Gorabal,Hungund ,YADGIR
Muttur,Muttur,Jamkhandi ,YADGIR
Hullikeri Inam,Hullikeri,Badami ,YADGIR
Kadampur,Kadampur,Bagalkot ,YADGIR
Kundargi,Kundargi,Bilgi ,YADGIR
Gorbal,Gorabal,Hungund ,YADGIR
Kadapatti S K,Hullikeri,Badami ,YADGIR
Nakargundi,Kadampur,Bagalkot ,YADGIR
Herur,Gorabal,Hungund ,YADGIR
Maninagar,Hullikeri,Badami ,YADGIR
Salagundi,Kadampur,Bagalkot ,YADGIR
Ingalgi,Gorabal,Hungund ,YADGIR
Mattikatti,Hullikeri,Badami ,YADGIR
Sidnal,Kadampur,Bagalkot ,YADGIR
Tondihal,Gorabal,Hungund ,YADGIR
Yankanchi,Hullikeri,Badami ,YADGIR
Sindagi,Kadampur,Bagalkot ,YADGIR
Kontikal,Nagarala,Bilgi ,YADGIR
Gudur,Gudur S C,Hungund ,YADGIR
Jalihal,Jalihal,Badami ,YADGIR
Sorakopp,Kadampur,Bagalkot ,YADGIR
Nagaral,Nagarala,Bilgi ,YADGIR
Anapakatti,Havaragi,Hungund ,YADGIR
Akkimaradi,Nagaral,Mudhol ,YADGIR
Hulasageri,Jamankatti,Badami ,YADGIR
Yankachi,Kadampur,Bagalkot ,YADGIR
Ramapratappa Nagar,Nagarala,Bilgi ,YADGIR
Havaragi,Havaragi,Hungund ,YADGIR
Navalgi,Navalagi,Jamkhandi ,YADGIR
Nagaral,Nagaral,Mudhol ,YADGIR
Jammanakatti,Jamankatti,Badami ,YADGIR
Kaladgi,Kaladagi,Bagalkot ,YADGIR
Shivanagar,Siddapur,Bilgi ,YADGIR
Indawar,Havaragi,Hungund ,YADGIR
Sasalatti,Saslatti,Jamkhandi ,YADGIR
Nandagoan,Nandagav,Mudhol ,YADGIR
Lakkasakoppa,Jamankatti,Badami ,YADGIR
Ankalagi,Khajidoni,Bagalkot ,YADGIR
Siddapur,Siddapur,Bilgi ,YADGIR
Kamaladinni,Havaragi,Hungund ,YADGIR
Savalagi,Savalagi,Jamkhandi ,YADGIR
Saidapur,Saidapur,Mudhol ,YADGIR
Bellikindi,Kainakatti,Badami ,YADGIR
Khajjidoni,Khajidoni,Bagalkot ,YADGIR
Sonna,Sonna,Bilgi ,YADGIR
Koujaganur,Havaragi,Hungund ,YADGIR
Siddapur,Siddapura,Jamkhandi ,YADGIR
Shirol,Shirol,Mudhol ,YADGIR
Hawalakhod,Kainakatti,Badami ,YADGIR
Sharadal,Khajidoni,Bagalkot ,YADGIR
Dattapura,Sunag,Bilgi ,YADGIR
Lavalasar,Havaragi,Hungund ,YADGIR
Jambagi,Surapalli,Jamkhandi ,YADGIR
Malapur,Soragavi,Mudhol ,YADGIR
Hosakoti,Kainakatti,Badami ,YADGIR
Udagatti,Khajidoni,Bagalkot ,YADGIR
Sunaga,Sunag,Bilgi ,YADGIR
Vadergonal,Havaragi,Hungund ,YADGIR
Shurpali,Surapalli,Jamkhandi ,YADGIR
Soragoan,Soragavi,Mudhol ,YADGIR
Jangawad,Kainakatti,Badami ,YADGIR
Honnakatti,Mugalolli,Bagalkot ,YADGIR
Tolamatti,Sunag,Bilgi ,YADGIR
Bannihatti,Hire Badawadagi,Hungund ,YADGIR
Tubachi,Surapalli,Jamkhandi ,YADGIR
Jaliber,Uttur,Mudhol ,YADGIR
Kadarakoppa,Kainakatti,Badami ,YADGIR
Mugalalli,Mugalolli,Bagalkot ,YADGIR
Ballur,Teggi,Bilgi ,YADGIR
Chickbadawadgi,Hire Badawadagi,Hungund ,YADGIR
Tamadaddi,Tamadaddi,Jamkhandi ,YADGIR
Ranjanagi,Uttur,Mudhol ,YADGIR
Kainakatti,Kainakatti,Badami ,YADGIR
Sangondi,Mugalolli,Bagalkot ,YADGIR
Bisnal,Teggi,Bilgi ,YADGIR
Chittawadgi,Hire Badawadagi,Hungund ,YADGIR
Todalbagi,Todalbagi,Jamkhandi ,YADGIR
Uttur,Uttur,Mudhol ,YADGIR
Sheeparamatti,Kainakatti,Badami ,YADGIR
Bannidinni,Murnal,Bagalkot ,YADGIR
Shaktinagar,Teggi,Bilgi ,YADGIR
Hirebadawadgi,Hire Badawadagi,Hungund ,YADGIR
Tungal,Tungal,Jamkhandi ,YADGIR
Marikatti,Vajarmatti,Mudhol ,YADGIR
Chimmanakatti,Kaknur,Badami ,YADGIR
Kesanur,Murnal,Bagalkot ,YADGIR
Teggi,Teggi,Bilgi ,YADGIR
Virapur,Hire Badawadagi,Hungund ,YADGIR
Bandigani,Yallatti,Jamkhandi ,YADGIR
Vajjaramatti,Vajarmatti,Mudhol ,YADGIR
Kakanur,Kaknur,Badami ,YADGIR
Muranal,Murnal,Bagalkot ,YADGIR
Amalzari,Yadahalli,Bilgi ,YADGIR
Gugalmari,Hire Kodagalli,Hungund ,YADGIR
Yallatti,Yallatti,Jamkhandi ,YADGIR
Channal,Vantgodi,Mudhol ,YADGIR
Karalakoppa,Kaknur,Badami ,YADGIR
Veerapur,Murnal,Bagalkot ,YADGIR
Yadahalli,Yadahalli,Bilgi ,YADGIR
Hanamanal,Hire Kodagalli,Hungund ,YADGIR
Mallapur,Vantgodi,Mudhol ,YADGIR
Katageri,Katageri,Badami ,YADGIR
Hirekodagali,Hire Kodagalli,Hungund ,YADGIR
Mirji,Vantgodi,Mudhol ,YADGIR
Konkanakoppa,Katageri,Badami ,YADGIR
Chitaginakopp,Nainegalli,Bagalkot ,YADGIR
Bevinal,Hire Magi,Hungund ,YADGIR
Vantigodi,Vantgodi,Mudhol ,YADGIR
Budihal,Kataraki,Badami ,YADGIR
Devalapur,Nainegalli,Bagalkot ,YADGIR
Hiremagi,Hire Magi,Hungund ,YADGIR
Chikkanasabi,Kataraki,Badami ,YADGIR
Mudavinkopp,Nainegalli,Bagalkot ,YADGIR
Madapur,Hire Magi,Hungund ,YADGIR
Jakanur,Kataraki,Badami ,YADGIR
Nainegali,Nainegalli,Bagalkot ,YADGIR
Chick Otageri,Hire Oatgeri,Hungund ,YADGIR
Katharaki,Kataraki,Badami ,YADGIR
Neelanagar,Neelanagar,Bagalkot ,YADGIR
Hire Otageri,Hire Oatgeri,Hungund ,YADGIR
Manneri,Kataraki,Badami ,YADGIR
Muchakhandi,Neeralkeri,Bagalkot ,YADGIR
Maratgeri,Hire Oatgeri,Hungund ,YADGIR
Neeralagi,Kataraki,Badami ,YADGIR
Niralkeri,Neeralkeri,Bagalkot ,YADGIR
Somalapur,Hire Oatgeri,Hungund ,YADGIR
Thaminal,Kataraki,Badami ,YADGIR
Alur,Rampur,Bagalkot ,YADGIR
Vajjal,Hire Oatgeri,Hungund ,YADGIR
Kelawadi,Kelavadi,Badami ,YADGIR
Mastihal,Rampur,Bagalkot ,YADGIR
Chicksinganagutti,Hire Shingangutti,Hungund ,YADGIR
Lingapur,Kelavadi,Badami ,YADGIR
Rampur,Rampur,Bagalkot ,YADGIR
Chikadapur,Hire Shingangutti,Hungund ,YADGIR
Teggi,Kelavadi,Badami ,YADGIR
Simikeri,Seemikeri,Bagalkot ,YADGIR
Hireadapur,Hire Shingangutti,Hungund ,YADGIR
Timasagar,Kelavadi,Badami ,YADGIR
Durgadevinagar,Sheegikeri,Bagalkot ,YADGIR
Hiresinganagutti,Hire Shingangutti,Hungund ,YADGIR
Kendur,Kenduru,Badami ,YADGIR
Sigikeri,Sheegikeri,Bagalkot ,YADGIR
Krishnapur,Hire Shingangutti,Hungund ,YADGIR
Kutakanakeri,Kenduru,Badami ,YADGIR
Sirur,Shirur,Bagalkot ,YADGIR
Chickmagi,Hiremalagavi,Hungund ,YADGIR
Kalas,Kittali,Badami ,YADGIR
Domanal,Sutagundar,Bagalkot ,YADGIR
Chickmalagavi,Hiremalagavi,Hungund ,YADGIR
Kittali,Kittali,Badami ,YADGIR
Mankani,Sutagundar,Bagalkot ,YADGIR
Hiremalagavi,Hiremalagavi,Hungund ,YADGIR
Sulla,Kittali,Badami ,YADGIR
Sutagundar,Sutagundar,Bagalkot ,YADGIR
Khairwadgi,Hiremalagavi,Hungund ,YADGIR
Kotikall,Kotikal,Badami ,YADGIR
Basavanagar,Timmapur,Bagalkot ,YADGIR
Papathanal,Hiremalagavi,Hungund ,YADGIR
Thogunashi,Kotikal,Badami ,YADGIR
Bodanayakdinni,Timmapur,Bagalkot ,YADGIR
Huvinahalli,Huvinahalli,Hungund ,YADGIR
Chirlakoppa,Kulageri Cross,Badami ,YADGIR
Timmapur,Timmapur,Bagalkot ,YADGIR
Mullur,Huvinahalli,Hungund ,YADGIR
Khanapur S K,Kulageri Cross,Badami ,YADGIR
Tulasigeri,Tulasigeri,Bagalkot ,YADGIR
Ramathal,Huvinahalli,Hungund ,YADGIR
Kulageri,Kulageri Cross,Badami ,YADGIR
Anadinni,Yadahalli,Bagalkot ,YADGIR
Aiahole,Iahole,Hungund ,YADGIR
Somanakoppa,Kulageri Cross,Badami ,YADGIR
Chebbi,Yadahalli,Bagalkot ,YADGIR
Kalligudda,Iahole,Hungund ,YADGIR
Asangi,Layadgundi,Badami ,YADGIR
Yadahalli,Yadahalli,Bagalkot ,YADGIR
Nimbalgundi,Iahole,Hungund ,YADGIR
Kataginahalli,Layadgundi,Badami ,YADGIR
Chatnihal,Jambaldinni,Hungund ,YADGIR
Kotnalli,Layadgundi,Badami ,YADGIR
Gadisunkapur,Jambaldinni,Hungund ,YADGIR
Layadagundi,Layadgundi,Badami ,YADGIR
Hirehunakunti,Jambaldinni,Hungund ,YADGIR
Halageri,Mamtageri,Badami ,YADGIR
Jambaladinni,Jambaldinni,Hungund ,YADGIR
Kallapur S K,Mamtageri,Badami ,YADGIR
Kesarabhavi,Jambaldinni,Hungund ,YADGIR
Mamatageri,Mamtageri,Badami ,YADGIR
Malagihal,Jambaldinni,Hungund ,YADGIR
Tappasakatti,Mamtageri,Badami ,YADGIR
Tumba,Jambaldinni,Hungund ,YADGIR
Ugalawat,Mamtageri,Badami ,YADGIR
Gonal,Kandagal,Hungund ,YADGIR
Chimmalagi,Mangalagudda,Badami ,YADGIR
Kandgal,Kandagal,Hungund ,YADGIR
Katapur,Mangalagudda,Badami ,YADGIR
Amarawadgi,Karadi,Hungund ,YADGIR
Mangalagudda,Mangalagudda,Badami ,YADGIR
Chinnapur,Karadi,Hungund ,YADGIR
Gonal,Mangalore,Badami ,YADGIR
Dasbal,Karadi,Hungund ,YADGIR
Hirenasabi,Mangalore,Badami ,YADGIR
Islampur,Karadi,Hungund ,YADGIR
Mangalur,Mangalore,Badami ,YADGIR
Karadi,Karadi,Hungund ,YADGIR
Navilahole,Mangalore,Badami ,YADGIR
Kesarapenti,Karadi,Hungund ,YADGIR
Shirabadagi,Mangalore,Badami ,YADGIR
Pochapur,Karadi,Hungund ,YADGIR
Hanamasagar,Mustigeri,Badami ,YADGIR
Kelur,Kelur,Hungund ,YADGIR
Karadigudd S A,Mustigeri,Badami ,YADGIR
Kunabenchi,Kelur,Hungund ,YADGIR
Mustigeri,Mustigeri,Badami ,YADGIR
Tallikeri,Kelur,Hungund ,YADGIR
Aladakatti,Mutalgeri,Badami ,YADGIR
Kengalkadapatti,Kodal Sangam,Hungund ,YADGIR
Muttalageri,Mutalgeri,Badami ,YADGIR
Khajagal,Kodal Sangam,Hungund ,YADGIR
Yaragoppa S B,Mutalgeri,Badami ,YADGIR
Sangam,Kodal Sangam,Hungund ,YADGIR
