Village Name,Gram Panchayat,TALUK,district
Majara Attikunte,Emmenatha,Mulbagal ,YADGIR
Agrahara,Kodipalli,Srinivaspur ,YADGIR
Thoraganadoddi,Hulibele,Bangarpet ,YADGIR
Settihalli,Settihalli,Kolar ,YADGIR
Voppachahalli,Dadinaikanahallidoddi,Malur ,YADGIR
Melagani,Emmenatha,Mulbagal ,YADGIR
Avaganapalli,Kodipalli,Srinivaspur ,YADGIR
Battarakuppa,Hulkooru,Bangarpet ,YADGIR
Thokalagatta,Settihalli,Kolar ,YADGIR
Yakkadoddi,Dadinaikanahallidoddi,Malur ,YADGIR
Padakasti,Emmenatha,Mulbagal ,YADGIR
Bathalaguttapalli,Kodipalli,Srinivaspur ,YADGIR
Betkur,Hulkooru,Bangarpet ,YADGIR
Chanjimale,Seeti,Kolar ,YADGIR
Ajjappanahalli,Dinnahalli,Malur ,YADGIR
Sheshapura,Emmenatha,Mulbagal ,YADGIR
Chikkakondamari,Kodipalli,Srinivaspur ,YADGIR
Dharmakrishnepalli,Hulkooru,Bangarpet ,YADGIR
Hullankallu,Seeti,Kolar ,YADGIR
Balanahalli Plantation,Dinnahalli,Malur ,YADGIR
Bhimanavoddu,Gudipalli,Mulbagal ,YADGIR
Chilepalli,Kodipalli,Srinivaspur ,YADGIR
Doddakari,Hulkooru,Bangarpet ,YADGIR
Marjenahalli,Seeti,Kolar ,YADGIR
Basavanaikanahalli,Dinnahalli,Malur ,YADGIR
Bommadasanahalli,Gudipalli,Mulbagal ,YADGIR
Diguvamarampalli,Kodipalli,Srinivaspur ,YADGIR
Hangala,Hulkooru,Bangarpet ,YADGIR
Matapura,Seeti,Kolar ,YADGIR
Byappanahalli,Dinnahalli,Malur ,YADGIR
G Kodihalli,Gudipalli,Mulbagal ,YADGIR
Karipalli,Kodipalli,Srinivaspur ,YADGIR
Hulkuru,Hulkooru,Bangarpet ,YADGIR
Seethi,Seeti,Kolar ,YADGIR
Chickadanavahalli,Dinnahalli,Malur ,YADGIR
G Vaddahalli,Gudipalli,Mulbagal ,YADGIR
Kodipalli,Kodipalli,Srinivaspur ,YADGIR
Kavaraganahalli Majara,Hulkooru,Bangarpet ,YADGIR
Thippenahalli,Seeti,Kolar ,YADGIR
Chikkasandra,Dinnahalli,Malur ,YADGIR
